 x, y, z,signal
0,0,0,86
0,0,0.05,86
0,0,0.5,86
0,0,0.71,86
0,0,0.87,86
0,0,0.96,86
0,0,1.33,86
0,0,1.57,86
0,0,1.74,86
0,0,1.82,86
0,0,1.86,86
0,0,2.09,86
0,0,2.29,86
0,0,2.93,86
0,0,3,86
0,0,3.12,86
0,0,3.41,87
0,0,3.44,88
0,0,3.58,88
0,0,3.73,88
0,0,3.86,88
0,0,4.57,89
0,0,4.76,89
0,0,4.98,89
0,0,5.32,89
0,0,5.84,90
0,0,6.11,90
0,0,6.52,91
0,0,6.62,91
0,0,6.92,92
0,0,7.18,92
0,0,7.28,92
0,0,7.53,92
0,0,7.79,92
0,0,8.21,93
0,0,8.35,93
0,0,8.59,93
0,0,9.31,93
0,0,9.38,93
0,0,9.52,94
0,0,10.02,95
0,0,10.17,95
0,0,10.27,95
0,0,10.44,96
0,0,10.72,96
0,0,11.32,96
0,0,11.4,96
0,0,11.55,97
0,0,11.8,97
0,0,11.81,98
0,0,11.84,98
0,0,11.87,98
0,0,11.9,98
0,0,12.02,98
0,0,12.23,98
0,0,12.53,98
0,0,12.63,100
0,0,13.32,101
0,0,13.44,101
0,0,13.76,102
0,0,14.3,103
0,0,14.43,104
0,0,14.48,104
0,0,14.62,105
0,0,14.85,106
0,0,14.89,110
0,0,14.85,110
0,0,14.62,110
0,0,14.55,110
0,0,14.31,110
0,0,14.24,110
0,0,14.18,110
0,0,13.52,110
0,0,13.25,110
0,0,13.13,109
0,0,12.81,108
0,0,12.61,108
0,0,12.56,108
0,0,12.41,107
0,0,12.22,107
0,0,12.15,106
0,0,11.98,106
0,0,11.73,105
0,0,11.5,104
0,0,11.28,103
0,0,11.15,103
0,0,11.06,103
0,0,11.02,103
0,0,10.68,103
0,0,10.56,103
0,0,10.28,103
0,0,10.17,103
0,0,10.06,102
0,0,10.03,102
0,0,9.81,102
0,0,9.7,102
0,0,9.25,102
0,0,9.03,102
0,0,8.71,101
0,0,8.15,100
0,0,8.04,100
0,0,7.97,100
0,0,7.86,100
0,0,7.78,100
0,0,7.36,99
0,0,7.3,99
0,0,7.21,99
0,0,7.17,99
0,0,7.12,99
0,0,7.07,99
0,0,7.04,99
0,0,6.86,99
0,0,6.74,99
0,0,6.62,99
0,0,6.56,98
0,0,6.44,98
0,0,6.26,98
0,0,5.99,98
0,0,5.88,98
0,0,5.79,98
0,0,5.71,98
0,0,5.64,98
0,0,4.78,96
0,0,4.69,96
0,0,4.53,96
0,0,4.42,96
0,0,4.3,96
0,0,4.22,96
0,0,4.14,96
0,0,4.06,96
0,0,3.53,95
0,0,3.16,94
0,0,3.09,94
0,0,3.03,94
0,0,2.98,93
0,0,2.86,93
0,0,2.72,93
0,0,2.27,93
0,0,2.15,92
0,0,2.03,92
0,0,1.92,92
0,0,1.86,92
0,0,1.82,92
0,0,1.65,92
0,0,1.5,92
0,0,1.3,92
0,0,1.24,92
0,0,0.45,91
0,0,0.19,90
0,0,0.05,90
1,0,0.96,87
1,0,1.29,88
1,0,1.37,88
1,0,1.45,88
1,0,1.5,88
1,0,1.8,88
1,0,2.09,87
1,0,2.26,87
1,0,2.31,87
1,0,2.92,89
1,0,3.16,89
1,0,3.41,89
1,0,3.89,90
1,0,4.24,90
1,0,4.57,91
1,0,4.66,91
1,0,4.74,91
1,0,4.86,91
1,0,4.91,91
1,0,5.09,91
1,0,5.83,92
1,0,5.96,92
1,0,6.11,93
1,0,6.21,93
1,0,6.62,93
1,0,6.88,93
1,0,6.9,93
1,0,6.99,94
1,0,7.07,94
1,0,7.32,94
1,0,7.38,94
1,0,7.53,94
1,0,7.59,94
1,0,7.69,94
1,0,7.75,94
1,0,8.02,94
1,0,8.07,94
1,0,8.13,94
1,0,8.28,94
1,0,8.35,94
1,0,8.42,94
1,0,8.7,95
1,0,8.77,95
1,0,8.79,95
1,0,8.81,95
1,0,8.92,95
1,0,9.05,95
1,0,9.15,95
1,0,9.23,95
1,0,9.27,95
1,0,9.46,95
1,0,9.5,95
1,0,9.58,95
1,0,10.14,96
1,0,10.27,96
1,0,10.67,97
1,0,10.78,97
1,0,10.92,97
1,0,11.24,98
1,0,11.31,99
1,0,11.58,99
1,0,11.68,99
1,0,11.76,100
1,0,12.07,100
1,0,12.19,100
1,0,12.3,100
1,0,12.43,100
1,0,12.7,100
1,0,12.76,100
1,0,12.93,100
1,0,12.96,100
1,0,13.14,102
1,0,13.51,102
1,0,13.8,102
1,0,14.29,104
1,0,14.38,104
1,0,14.49,105
1,0,14.58,105
1,0,14.64,105
1,0,14.85,106
1,0,15,106
1,0,14.9,112
1,0,14.55,112
1,0,14.26,112
1,0,14.09,112
1,0,13.9,113
1,0,13.71,113
1,0,13.56,113
1,0,13.47,113
1,0,13.4,113
1,0,12.95,114
1,0,12.72,114
1,0,12.66,114
1,0,12.54,114
1,0,12.46,114
1,0,12.31,114
1,0,12.25,114
1,0,12.13,116
1,0,11.93,125
1,0,11.9,125
1,0,11.63,125
1,0,11.47,125
1,0,11.21,125
1,0,11.05,125
1,0,10.94,125
1,0,10.85,125
1,0,10.66,125
1,0,10.57,125
1,0,10.44,125
1,0,10.08,125
1,0,9.69,125
1,0,9.32,125
1,0,9.17,125
1,0,9.05,125
1,0,8.87,125
1,0,8.68,125
1,0,8.42,125
1,0,8.4,125
1,0,8.38,125
1,0,8.26,125
1,0,8.23,125
1,0,8.06,112
1,0,7.98,112
1,0,7.78,104
1,0,7.51,102
1,0,7.17,101
1,0,7.05,100
1,0,7,100
1,0,6.97,100
1,0,6.92,99
1,0,6.74,99
1,0,6.63,98
1,0,6.57,98
1,0,6.49,98
1,0,6.43,98
1,0,6.36,98
1,0,6.23,98
1,0,5.95,98
1,0,5.72,97
1,0,5.58,96
1,0,5.5,96
1,0,5.41,97
1,0,5.2,97
1,0,5.15,97
1,0,4.86,96
1,0,4.73,96
1,0,4.54,96
1,0,4.16,96
1,0,3.98,96
1,0,3.97,96
1,0,3.43,95
1,0,3.21,94
1,0,3.01,94
1,0,2.86,93
1,0,2.78,93
1,0,2.69,93
1,0,2.47,93
1,0,2.29,93
1,0,1.88,92
1,0,1.71,92
1,0,1.58,91
1,0,1.5,91
1,0,1.39,91
1,0,1.14,91
1,0,1,91
1,0,0.66,91
1,0,0.58,91
1,0,0.14,89
1.99,0,0.17,88
1.99,0,0.46,88
1.99,0,0.52,88
1.99,0,0.7,88
1.99,0,0.75,88
1.99,0,0.96,88
1.99,0,1.28,88
1.99,0,1.35,88
1.99,0,1.48,88
1.99,0,1.65,88
1.99,0,2.17,88
1.99,0,2.28,88
1.99,0,2.52,88
1.99,0,2.77,88
1.99,0,2.78,88
1.99,0,2.84,88
1.99,0,2.87,88
1.99,0,2.97,88
1.99,0,3,88
1.99,0,3.26,88
1.99,0,3.39,88
1.99,0,3.42,88
1.99,0,3.92,89
1.99,0,4.07,89
1.99,0,4.17,89
1.99,0,4.68,90
1.99,0,4.98,91
1.99,0,6.05,92
1.99,0,6.13,92
1.99,0,6.19,92
1.99,0,6.49,92
1.99,0,6.7,93
1.99,0,7.07,93
1.99,0,7.49,93
1.99,0,7.57,93
1.99,0,7.64,93
